Tweet text,Polarity,Subjectivity
@NatalieStrecke1 @eris_mumu_23 @wesstreeting @peterkyle @Freedland @TracyAnnO @Keir_Starmer @UKLabour With demonstrably "a certain perception of Jews" &amp; "Jewish community institutions" like JVL targeted I think it's now 56 Jews purged thus far from Starmer's Labour in by far the biggest political pogrom against Jews in the entire history of British politics since 1655? https://t.co/dnwtCOAvfM,0.05918367346938775,0.47091836734693876
@GuanacasteKid16 @Daniel_Grigg @UKLabour @Keir_Starmer @jeremycorbyn Not only will I never vote for them I will campaign against them.  For a brief time I had hopes of a better country a fairer more caring one. They destroyed it. They were like vandals in a china shop smashing everything beautiful. I don't forget &amp; I certainly don't forgive.,0.3440476190476191,0.6507936507936507
@clara_hogg @KatyMontgomerie @tamboyce @LGBTLabour @Mermaids_Gender @StonewallCymru @Keir_Starmer @KevinBrennanMP That’s not the claim in the original article can you provide where it was found they directed kids to different platforms?,0.1875,0.675
@KarenRo08012406 @sairelbe @IreneDonald11 @ClassicLibScot @Beneri11 @ticgran @TomJohn1975 @GlasgowCabbie1 @peck51 @NicolaSturgeon @jbwhitesnake @Keir_Starmer @trussliz Budgets and electionsHonestly think people are stupid,-0.7999999999999999,1.0
@KarenRo08012406 @sairelbe @IreneDonald11 @ClassicLibScot @Beneri11 @ticgran @TomJohn1975 @GlasgowCabbie1 @peck51 @NicolaSturgeon @jbwhitesnake England have 533 constituency regions and requires 533 MPs in a GE they as in England elect @Keir_Starmer and @trussliz  MPs which is all of them to cover England Constituency regionsSo please refrain from saying England has no governmentIf no government they wouldn't be laws,0.8,0.9
@OldYesButWise @bookyblonde @jaynewilliams_ @UKLabour @Keir_Starmer You haven't list what's wrong with Labour policies.I've been a member 40 yearsI remember the 80s when we had 17 years of Tories as the Country rejected the left and Foot. John Smith was my inspiration and Corbyn even criticised him.. I voted for him but never liked him.,-0.26666666666666666,0.5666666666666668
@Booly47 @KatyMontgomerie @tamboyce @LGBTLabour @Mermaids_Gender @StonewallCymru @Keir_Starmer @KevinBrennanMP Thats not what happened...they were given or directed towards adult discussion forums. Why the  need for that. Mermaid have accepted they made an error of judgement and are being investigated. In the meantime children won't get the support they need. They need to do better.,0.3,0.4
@Keir_Starmer and the racist rights will be absolutely gutted. Great work @zarahsultana 👏 https://t.co/WRjihubra9,0.5,0.825
@PeterStefanovi2 @Keir_Starmer No she wasn't slaughtered my arse,0.0,0.0
@gorillamitts @EmmaKennedy @Keir_Starmer @trussliz What a waist of money that is 🤣😂🤡,0.0,0.0
@EmmaKennedy @Keir_Starmer @trussliz Oh look it's miss irrelevant again. https://t.co/rHJKGoixlr,-0.5,1.0
@Keir_Starmer @EdwardJDavey ! Please make serious noises about repairing any potential damage done to the NHS by taking it back into public ownership WITHOUT COMPENSATION!We’ve a rogue government with two years left to destroy it and the UK!#ToriesOut98  #TrussOut38 #JailTime https://t.co/s0QF5BJAcP,-0.08888888888888889,0.28888888888888886
@trussliz@Keir_Starmer and @UKLabour thank you for your support…Labour 53Tories 19#TopJob,0.0,0.0
@Keir_Starmer is an absolute disgrace and won’t be getting my vote. https://t.co/MdUnX6ifXj,0.2,0.9
@OldYesButWise @bookyblonde @jaynewilliams_ @UKLabour @Keir_Starmer List broken pledges. How can they be implemented in opposition? Councils Mayors and Welsh government are!I have watched Labour Files! Have you watched panorama.  Most in Labour Files were suspended then left back into the party. Ken Livingston started all this plus Palastine!,0.0,0.225
@IanByrneMP I mean this is just shit @Keir_Starmer,-0.25625,0.74375
@JohnnyMercerUK @lewis_goodall #crossthefloor @Keir_Starmer @AngelaRayner @RhonddaBryant,0.0,0.0
@Robinho60134704 @AngelaRayner @Keir_Starmer Will labour please say if they are ßtill going to tax house profits and inheritance tax?,0.0,0.0
@CWUnews @Keir_Starmer  you seen this lot,0.0,0.0
@OldYesButWise @bookyblonde @jaynewilliams_ @UKLabour @Keir_Starmer What Labour policies are Neoliberal? Labour have had an Independent Disciplinary Proceedure since January which was voted for last Sept. It was enforced by ERCH !What do you mean Neoliberal Mantra Labour have never been a Socialist Party its centre left Democratic Socialist,-0.078125,0.21979166666666666
@AddictScrabble @Keir_Starmer @Conservatives “LEMMING CENTRAL” is open for business again I see!!!!,0.0,0.375
@AngelaRayner Labour front bench is now following "popular politics" on social platforms like Twitter.Most honourable thing to do at this time is to give a big boost to our national confidence and credibility. There is no better way to do that than to stand behind our new PM @Keir_Starmer .,0.01709956709956709,0.403030303030303
@Keir_Starmer Your advisor. https://t.co/shpAjVSnV3,0.0,0.0
@g_gosden Like shooting fish in a barrel here. Hope she does #PMQs if @Keir_Starmer cannot.,0.0,0.0
@steffd62 @bookyblonde @jaynewilliams_ @UKLabour @Keir_Starmer As I said we wont convince each other. You wont watch the Labour Files without presuming they're manufactured bs. Many have shown Starmer's pledges to become leader - all broken. He is not trustworthy. Only agreement between us is Lab is better than Tory. Let's quit as friends.,0.095,0.5549999999999999
Dear all @POTUS @trussliz @Keir_Starmer @JamesCleverly @GwynneMP @DavidLammy @AngelaRayner @FCDOGovUK @CatrionaLaing1 @hrwPls impel on @MBuhari @NGRPresident @GovNigeria to immediately comply with this order of the Appeal Court and #FreeNnamdiKanuNow https://t.co/4KY3avyRVU,0.0,0.0
I note that @Keir_Starmer is a man of taste and uses the Mitsubishi Uniball as his pen of choice as I do.,0.0,0.0
@thom_brooks @juriprudence201 @UKLabour @Keir_Starmer The deep state choice?? Sorry but not a hope,-0.25,0.7
@bookyblonde @UKLabour @Keir_Starmer Good luck with that.,0.7,0.6000000000000001
@OldYesButWise @bookyblonde @jaynewilliams_ @UKLabour @Keir_Starmer Corbyn criticised every Labour leader from the time he became an MP including John smith he went on BBC radio 4 and said he didn't represent the needs of the people in 1993 when he was 15 points ahead He voted agsinst his own party and more with the Tories than any other leader. https://t.co/94OVIDDUCD,0.325,0.625
@trussliz and @KwasiKwarteng are already toast. A complete u turn cancelling the tax cuts will not save them. @Keir_Starmer needs to get the Tories to agree progressive tax cuts that will help the poorest but are properly costed with OBR evaluation. Time for a windfall tax.,0.05,0.25
@rupertsmum @CateToward @Daniel_Grigg @UKLabour @Keir_Starmer Say what you really mean Jules !!Good on ya !!✊,0.255859375,0.64375
@BrexitBin The big problem is @Keir_Starmer  wants to grow the economy but  does not accept freedom of movement,0.1,0.1
@Keir_Starmer @UKLabour what planet are you guys on? Ian is more deserved of being a Labour MP than anyone. Keir use some common sense lad for once! https://t.co/1G4TFqw8ku,0.0625,0.5
@Thehuck_59 @Keir_Starmer Awww adore this photo of Keir and Victoria xx,0.4,0.9
How on earth is Ian Byrne ‘facing a fight to keep his seat?’What more can a man do for his party and City?We should be very proud to have him @Keir_Starmer should be ashamed of both himself and his party.,0.75,0.75
A Big thank you🙏to: @TonyBlair @GordonBrown @davidcameron @theresa_may @jeremycorbyn @MarkDrakeford @MayorofLondon @Keir_Starmer @SuellaBraverman @KwasiKwarteng @RishiSunak @EUCO1 @CoE_HRightsRLaw The entire UK is a 3rd world Shit hole 🤬 https://t.co/vBvmd0ApXK,-0.05,0.38125
@reclaimocracy @WarwickHunt4 @Daddy__c0o1 @TactfulTom @SamJRushworth @NoCakeLeft @Keir_Starmer @jeremycorbyn I don't want him as a Labour peer I don't want peers full stop...Anyway Labour now in their biggest polling lead over the Tories.EVER.https://t.co/6QDtNv9nAs,0.35,0.55
@reclaimocracy @Daddy__c0o1 @TactfulTom @SamJRushworth @NoCakeLeft @Keir_Starmer @jeremycorbyn Riiight. You agree with my whole tweet?,0.2,0.4
@supertanskiii @NadineDorries To #ReplaceLizTruss with either @Keir_Starmer or @jessphillips,0.0,0.0
@PippaCrerar When is Rosie Duffield going then @Keir_Starmer?,0.0,0.0
@dickiemoore5 @euromove @Keir_Starmer @DavidLammy @RachelReevesMP @wesstreeting @AngelaRayner @BethRigby Love how you call for heads and no doubt a civil war because of identity politics and binary thinking of the left who will deny any calls of fascism because they are so virtuous kind and good and all else are Untermensch,0.45,0.525
@OldYesButWise @bookyblonde @jaynewilliams_ @UKLabour @Keir_Starmer What Labour policies are NeoliberalWatch the original Panorama programmeLabour is a Democratic Socialist Party I've been a member 40 years. When the left took over the party in 80s we were left with 17 years of Tories until John Smith became leader.https://t.co/ExRS5lVObg,0.125,0.25
This is why i wont vote Labour in the next general election. @UKLabour and @Keir_Starmer is a disgrace. https://t.co/B5jMRWiXXS,0.02500000000000001,0.25
@charlotteh71 @1kilroywashere @paulapeters2 @Debbie_abrahams @guardian @UKLabour @jeremycorbyn @johnmcdonnellMP @Keir_Starmer @UniteSharon @and_unite @unitetheunion @RMTunion Charlotte that lot lie about everything? Now that @NorwichChloe is going gun hoe in further torture and sanctioning more claimants? What will it take to stop these fools from killing people? General Election now.https://t.co/Ps2YWKZxgx,0.18333333333333335,0.5
@NatalieStrecke1 @wesstreeting @peterkyle @Freedland @TracyAnnO @Keir_Starmer @UKLabour Solidarity Natalie.,0.0,0.0
@AlexiDimond @UKLabour @Keir_Starmer Except the core convening principle of any government going forward has to be climate and social justice. We are rapidly running out of time,0.03333333333333333,0.06666666666666667
#WECANTBREATHE If you are not actively standing up for what's right you're part of the problem.@davidlammy @mikehakata @perayahmet @CllrSeema @TottenhamTammy @michelle_saf @barbarablake51 @No2totltns @apchara @MamaPerdeep  @Keir_Starmer @LeAggy  @EddieNestorMBE @BBCRadioLondon https://t.co/UL24h5syoB,0.17619047619047618,0.5678571428571428
@acgrayling @Femi_Sorry @dontbrexitfixit @madelineahind @Thundaballz2 @JemmaDem @Keir_Starmer @Tees4Europe @LeedsEurope @York4EU @NE4EU @Sheffield4EU @SydesJokes @ColinSydes @snb19692 @BrexitBuster @irenegarth1946 @eyejosh @peterjukes @PeterStefanovi2 @Beany_1 @deelomas @dem_cath https://t.co/ehcpfL7Cy8,0.0,0.0
@jessphillips People who should replace Truss as PM .  @Keir_Starmer or @jessphillips,0.0,0.0
@AlexiDimond @UKLabour @Keir_Starmer Yep. The collapse of the Tories is very welcome but it’s not healthy for a political system to be so vulnerable to massive swings. We need PR and a practice of coalitions and compromise.,0.05,0.62
@Brexit_Refugee @Daddy__c0o1 @TactfulTom @SamJRushworth @NoCakeLeft @Keir_Starmer @jeremycorbyn Dark Lord lol that want me but 😂,0.325,0.55
@Brexit_Refugee @Daddy__c0o1 @TactfulTom @SamJRushworth @NoCakeLeft @Keir_Starmer @jeremycorbyn That’s not a theory. It is a fact.,0.0,0.0
@Brexit_Refugee @WarwickHunt4 @Daddy__c0o1 @TactfulTom @SamJRushworth @NoCakeLeft @Keir_Starmer @jeremycorbyn No it’s not his right as a member of the Labour Party. If he wants that right he has no right being a labour peer. Collective responsibility and all that.,0.15714285714285714,0.4267857142857142
@NickStevenson63 @AnnaMcMorrin @Keir_Starmer @UKLabour The current government were duly elected (albeit by some fools.} They do have the people's consent to govern.,0.0,0.4
@MaggieJ42656809 @MARYNURSE1950 @Keir_Starmer No he isn’t… https://t.co/9d4u6DoDkR,0.0,0.0
@DrGrumpy @KHarveyProctor @Keir_Starmer @FAIRcampaignUK People came forward because they believed Mark Williams Thomas. Many unwittingly furthered Savile lies because were fooled themselves so it looked as if Savile undoubtedly was a sexual predator and they couldn't go wrong. Why not have a slice of compo cake? You need to read.,0.16666666666666666,0.7444444444444445
@steffd62 @bookyblonde @jaynewilliams_ @UKLabour @Keir_Starmer Sorry Steff.. you &amp; I will have to agree to disagree on all but one thing #gtto. I will vote tactically to achieve this but can never support neoliberal Labour with an internal Stasi to keep to the mantra. If Lab ever becomes socialist I will join it.,-0.25,0.5
@PaulJoseBrain @jessphillips @Keir_Starmer One day you will find out the Sun is lying to you,0.0,0.0
@UKLabour_Innit @Tracey68979327 @Keir_Starmer @AngelaRayner You both lied didn’t you!!??,0.0,0.0
@Keir_Starmer's @UKLabour Party is NOT a  'far Left Socialist Govt' in-waiting...Why do you Tories LIE so much???STOP IT!!! https://t.co/YxxxA9vkkw,-0.025,0.5
@_Brian_Hunter @DamianClough2 @Cannydc1 @ff1l @aminamangera1 @rdg_elliott @Keir_Starmer Don't disagree with that at all. Union membership certainly should be a completely normal thing.,0.18214285714285713,0.6107142857142857
@DrGrumpy @KHarveyProctor @Keir_Starmer @FAIRcampaignUK @FACTukorg https://t.co/1jsuV2tiUF"What I heard was.."We know who patient was as s/he loudly announced themselves on Twitter undermining claims that Broadmoor patients would never speak up. She means well. But as ever no scrutiny of accuser and Broadmoor patients not always reliable.,0.1,0.8
@Keir_Starmer lies? Is that WHAT YOU'RE SAYING?We don't disagree.#FullFact checked https://t.co/kJpVt051h6,0.0,0.0
@KHarveyProctor @Keir_Starmer And now Starmer is giving Watson a seat in lords.. It stinks.. @Keir_Starmer,-0.6,0.5
@BobHump28451784 @gwyndster @Keir_Starmer @trussliz @NicolaSturgeon @80_mcswan @AnasSarwar @Edlon69 @IanMurr58938445 @IslaIsla3293 @jeremycorbyn @Douglas4Moray You have to be repetitive for you yoons to digest due to ignorance that the truth is being exposed,-0.1875,0.3125
@Dan__9000 @DamianClough2 @Cannydc1 @ff1l @aminamangera1 @rdg_elliott @Keir_Starmer They are struggling to get staff. e.g. Tesco Cafe staff. They are not unionised and are paid minimum wage.I would suggest that staff organise and get the unions to improve T&amp;Cs as well as pay.,0.0,0.0
@RosyPosy_kitteh @SamPEAK1951 @LupinLeChat @Keir_Starmer @HarrietHarman Not convinced if I'm honest.,0.6,0.9
