Tweet text,Polarity,Subjectivity
@NadineDorries @BorisJohnson Save the #NHS,0.0,0.0
@uk_eda @Jeremy_Hunt @BorisJohnson @vickyford Dear Ethiopian Diaspora Alliance - UKI am looking for a grant for my Ph.D. Dissertation. I am kindly asking you to assist my thesis in science education. With best regardsMinale DemelashAddis Ababa University C/phone: +251940631416email: minale.demelash@aau.edu.et,0.8,0.6
@Councillorsuzie @trussliz @Conservatives 67% of the #Excluded self-employed abandoned and forced into poverty and destitution by @BorisJohnson @RishiSunak @trussliz @PennyMordaunt government were Tory member'sThey supported the party all there life and this is how they get treated.@OfficialEUAhttps://t.co/rLEgzptM4m https://t.co/985KTj8b0P,-0.30000000000000004,0.2
@David_J_Bond @BorisJohnson @UKLabour You ignore the Mail Express Telegraph etc if you want to.I certainly do.,0.21428571428571427,0.5714285714285714
why wud #Boris return to #1922 #cabal of sh!ts led by #brady killed #tory party- In past big votes went to Ukip @Nigel_Farage so @BorisJohnson team up w @LozzaFox &amp; #Farage &amp; @WilliamClouston @heritagepartyuk &amp; copy #Macron insurgence of 2017 @toryboypierce @DCBMEP @MoS_Politics https://t.co/YUfG8xTqL4,-0.15,0.11666666666666665
@prettyboynavi @BorisJohnson,0.0,0.0
household names then?  Don't worry- @borisjohnson will make one of them a Lord take his safe seat and trouser the £85000 a year plus expenses. https://t.co/7KdhAYD89n,0.5,0.5
@David_J_Bond @BorisJohnson @UKLabour Good.,0.7,0.6000000000000001
@David_J_Bond @BorisJohnson @UKLabour Cry more.https://t.co/6QDtNvrwOA,0.0,0.0
@BorisJohnson that you? https://t.co/RhVtVfzT2u,0.0,0.0
@NadineDorries @BorisJohnson Who votes for people like this?,0.0,0.0
@BorisJohnson It was originally published on 23 October 2014 by Hodder &amp; Stoughton. 23 October 2022!!!,0.732421875,0.75
@MrBigWhaleCEO @ElrondNetwork @cypto_1121 @JoeBiden @BorisJohnson @USAmbUK @BorisJohnson @JuanfraEscudero @KingAbdullahII @jlori @justinsuntron @Davincij15 @moha_jriwi @,0.0,0.0
